stable_key,source_sku,source_name,status,target_sku,revision_id,run_id,decision_id,decision_actor_id,decision_at,decision_reason,catalog_version_id,policy_id
row:10,000009,A牌 X5 8+128 黑色 国行 原封 单台,CONFIRMED,STD-0009,2639a231-d251-4c59-959f-b3c7be4008a0,a3f4d53b-3b3a-45a8-9aa0-a21521381134,7d86c997-3f6f-4c17-9846-21ae77735fe7,e61e44dd-8886-45ff-a512-a28201a9bde6,2026-09-10T07:53:02.999334+00:00,受控模拟演练：独立核对记录,8f837861-8743-43f5-9ec4-29bcbf4059be,1de2c33d-601e-4f6a-9c87-a9a8974c67ed
row:11,000010,A牌 X5 12+256 黑色 国行 原封 单台,CONFIRMED,STD-0010,2639a231-d251-4c59-959f-b3c7be4008a0,a3f4d53b-3b3a-45a8-9aa0-a21521381134,b20079a0-75d5-4406-9d0c-72db092cf035,e61e44dd-8886-45ff-a512-a28201a9bde6,2026-09-10T07:53:02.777447+00:00,受控模拟演练：独立核对记录,8f837861-8743-43f5-9ec4-29bcbf4059be,1de2c33d-601e-4f6a-9c87-a9a8974c67ed
row:12,000011,A牌 X6-PRO 12+256 黑色 国行 原封 单台,CONFIRMED,STD-0011,2639a231-d251-4c59-959f-b3c7be4008a0,a3f4d53b-3b3a-45a8-9aa0-a21521381134,d1c3f95d-b14e-4a80-8288-4e6ee7339e7f,e61e44dd-8886-45ff-a512-a28201a9bde6,2026-09-10T07:53:02.913983+00:00,受控模拟演练：独立核对记录,8f837861-8743-43f5-9ec4-29bcbf4059be,1de2c33d-601e-4f6a-9c87-a9a8974c67ed
row:13,000012,红米 NOTE 14 8+128 黑色 国行 原封 单台,CONFIRMED,STD-0012,2639a231-d251-4c59-959f-b3c7be4008a0,a3f4d53b-3b3a-45a8-9aa0-a21521381134,7cef759a-6058-48a2-8b0b-5166c155efab,e61e44dd-8886-45ff-a512-a28201a9bde6,2026-09-10T07:53:02.699279+00:00,受控模拟演练：独立核对记录,8f837861-8743-43f5-9ec4-29bcbf4059be,1de2c33d-601e-4f6a-9c87-a9a8974c67ed
row:14,000013,小米 xiaomi 15 12+1024 黑色 国行 单机,UNMATCHED,,2639a231-d251-4c59-959f-b3c7be4008a0,a3f4d53b-3b3a-45a8-9aa0-a21521381134,8fe7ca03-5c7b-4ffa-ac23-8720d020d241,e61e44dd-8886-45ff-a512-a28201a9bde6,2026-09-10T07:53:02.613697+00:00,受控模拟演练：独立核对记录,8f837861-8743-43f5-9ec4-29bcbf4059be,1de2c33d-601e-4f6a-9c87-a9a8974c67ed
row:15,000014,小米 xiaomi 15 16+1024 白色 国行 单机,UNMATCHED,,2639a231-d251-4c59-959f-b3c7be4008a0,a3f4d53b-3b3a-45a8-9aa0-a21521381134,7f785a17-4c00-4c27-acbe-f14de2acff30,e61e44dd-8886-45ff-a512-a28201a9bde6,2026-09-10T07:53:03.041541+00:00,受控模拟演练：独立核对记录,8f837861-8743-43f5-9ec4-29bcbf4059be,1de2c33d-601e-4f6a-9c87-a9a8974c67ed
row:16,000015,三星 galaxy s25 12+1024 银色 国行 单机,UNMATCHED,,2639a231-d251-4c59-959f-b3c7be4008a0,a3f4d53b-3b3a-45a8-9aa0-a21521381134,e1df4902-3a4f-4ef8-8964-730daa8f5b3c,e61e44dd-8886-45ff-a512-a28201a9bde6,2026-09-10T07:53:02.980771+00:00,受控模拟演练：独立核对记录,8f837861-8743-43f5-9ec4-29bcbf4059be,1de2c33d-601e-4f6a-9c87-a9a8974c67ed
row:17,000016,三星 galaxy s25 ultra 12+1024 黑色 国行 单机,UNMATCHED,,2639a231-d251-4c59-959f-b3c7be4008a0,a3f4d53b-3b3a-45a8-9aa0-a21521381134,e9fbc3ab-ac30-4311-8800-ad919a2af93a,e61e44dd-8886-45ff-a512-a28201a9bde6,2026-09-10T07:53:03.068904+00:00,受控模拟演练：独立核对记录,8f837861-8743-43f5-9ec4-29bcbf4059be,1de2c33d-601e-4f6a-9c87-a9a8974c67ed
row:18,000017,荣耀 honor 400 12+1024 蓝色 国行 单机,UNMATCHED,,2639a231-d251-4c59-959f-b3c7be4008a0,a3f4d53b-3b3a-45a8-9aa0-a21521381134,eae3110c-baea-4fe3-901b-4ead96616191,e61e44dd-8886-45ff-a512-a28201a9bde6,2026-09-10T07:53:02.726056+00:00,受控模拟演练：独立核对记录,8f837861-8743-43f5-9ec4-29bcbf4059be,1de2c33d-601e-4f6a-9c87-a9a8974c67ed
row:19,000018,华为 pura 80 12+256 国行 单机,UNMATCHED,,2639a231-d251-4c59-959f-b3c7be4008a0,a3f4d53b-3b3a-45a8-9aa0-a21521381134,f006bd78-c144-4207-9534-d89b02193429,e61e44dd-8886-45ff-a512-a28201a9bde6,2026-09-10T07:53:02.651613+00:00,受控模拟演练：独立核对记录,8f837861-8743-43f5-9ec4-29bcbf4059be,1de2c33d-601e-4f6a-9c87-a9a8974c67ed
row:2,000001,小米 XIAOMI 15 12+256 黑色 国行 原封 单台,CONFIRMED,STD-0001,2639a231-d251-4c59-959f-b3c7be4008a0,a3f4d53b-3b3a-45a8-9aa0-a21521381134,8687ec1d-5f24-46e9-94ee-a8dc0bc2e0cc,e61e44dd-8886-45ff-a512-a28201a9bde6,2026-09-10T07:53:02.875483+00:00,受控模拟演练：独立核对记录,8f837861-8743-43f5-9ec4-29bcbf4059be,1de2c33d-601e-4f6a-9c87-a9a8974c67ed
row:20,000019,OPPO find x8 12+256 国行 单机,UNMATCHED,,2639a231-d251-4c59-959f-b3c7be4008a0,a3f4d53b-3b3a-45a8-9aa0-a21521381134,8e766166-1de8-44b5-b4e2-ddae94448199,e61e44dd-8886-45ff-a512-a28201a9bde6,2026-09-10T07:53:02.739721+00:00,受控模拟演练：独立核对记录,8f837861-8743-43f5-9ec4-29bcbf4059be,1de2c33d-601e-4f6a-9c87-a9a8974c67ed
row:21,000020,vivo x200 12+256 国行 单机,UNMATCHED,,2639a231-d251-4c59-959f-b3c7be4008a0,a3f4d53b-3b3a-45a8-9aa0-a21521381134,e5e01934-9cc5-44a4-88fb-891e62d74337,e61e44dd-8886-45ff-a512-a28201a9bde6,2026-09-10T07:53:03.055689+00:00,受控模拟演练：独立核对记录,8f837861-8743-43f5-9ec4-29bcbf4059be,1de2c33d-601e-4f6a-9c87-a9a8974c67ed
row:22,000021,A牌 x5 8+128 国行 单机,UNMATCHED,,2639a231-d251-4c59-959f-b3c7be4008a0,a3f4d53b-3b3a-45a8-9aa0-a21521381134,0192a209-53d4-4bc8-839d-48e6bd8dbb1a,e61e44dd-8886-45ff-a512-a28201a9bde6,2026-09-10T07:53:02.927637+00:00,受控模拟演练：独立核对记录,8f837861-8743-43f5-9ec4-29bcbf4059be,1de2c33d-601e-4f6a-9c87-a9a8974c67ed
